,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
0,vs. Conference,East,10,8,2,0.8,48.0,43.9,86.0,0.51,10.8,28.8,0.375,17.3,20.3,0.852,9.0,38.1,47.1,29.2,16.9,8.4,9.8,3.7,19.8,17.8,115.9,10.8,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,164,East
1,vs. Conference,West,11,7,4,0.636,48.0,43.3,85.7,0.505,14.4,34.6,0.415,16.8,21.3,0.791,8.5,34.9,43.5,31.0,15.9,9.1,7.7,4.5,22.5,18.4,117.7,10.2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,164,West
0,vs. Conference,East,10,8,2,0.8,12.0,11.4,23.8,0.479,2.6,7.3,0.356,3.5,4.2,0.833,3.3,10.0,13.3,7.3,4.7,2.5,2.3,1.4,3.4,3.5,28.9,0.7,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,164,East
1,vs. Conference,West,11,7,4,0.636,12.0,10.3,22.2,0.463,3.8,9.1,0.42,4.1,5.0,0.818,2.0,9.0,11.0,8.2,4.3,2.5,1.8,1.5,4.5,4.5,28.5,-1.1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,164,West
0,vs. Conference,East,10,8,2,0.8,12.0,11.0,21.8,0.505,1.9,6.3,0.302,5.1,6.1,0.836,2.3,10.5,12.8,7.3,4.2,2.0,2.6,0.7,5.0,5.1,29.0,3.2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,164,East
1,vs. Conference,West,11,7,4,0.636,12.0,10.9,21.5,0.506,3.3,8.1,0.404,4.5,5.9,0.769,1.7,8.7,10.5,7.6,3.7,1.6,2.3,0.8,6.1,5.0,29.6,1.7,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,164,West
0,vs. Conference,East,10,8,2,0.8,12.0,11.7,21.1,0.555,3.8,7.9,0.481,4.7,5.4,0.87,1.4,9.3,10.7,7.8,3.9,2.1,2.3,1.0,6.1,4.6,31.9,7.0,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,1,2,2,1,2,1,1,2,1,2,1,164,East
1,vs. Conference,West,11,7,4,0.636,12.0,11.8,21.4,0.553,3.8,8.4,0.457,4.9,6.2,0.794,2.3,8.5,10.7,8.5,4.4,3.2,1.7,1.0,6.0,4.5,32.4,6.4,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,164,West
0,vs. Conference,East,10,8,2,0.8,12.0,9.8,19.3,0.508,2.5,7.3,0.342,4.0,4.6,0.87,2.0,8.3,10.3,6.8,4.1,1.8,2.6,0.6,5.3,4.6,26.1,-0.1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,164,East
1,vs. Conference,West,11,7,4,0.636,12.0,10.3,20.6,0.498,3.5,9.1,0.38,3.3,4.2,0.783,2.5,8.7,11.3,6.6,3.5,1.8,1.9,1.2,5.9,4.4,27.3,3.2,1,2,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,164,West
